"codigo_viagem";"empresa";"nu_linha";"onibus";"tipo_viagem";"sentido_linha";"in_transbordo";"origem";"origem_uf";"destino";"destino_uf";"lat";"lon";"pdop";"data_viagem_programada";"data_inicio_viagem";"data_fim_viagem"
"1f40ad34";"51c1ab4e";"7abcba0e";"722d0318";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8807045;-40,8570619;5;2019-01-05 10:30:00;2019-01-05 11:57:07;2019-01-06 03:19:08
"983f09d6";"51c1ab4e";"7abcba0e";"20fbe427";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5112099;-46,6018038;1;2019-01-05 11:05:00;2019-01-05 01:49:26;2019-01-06 06:15:58
"ef383940";"51c1ab4e";"7abcba0e";"57abf744";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5169028;-46,6236227;2,1;2019-01-05 11:15:00;2019-01-05 01:39:41;2019-01-06 03:04:50
"763168fa";"51c1ab4e";"7abcba0e";"9f71a1ac";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8806213;-40,8571899;1;2019-01-05 11:15:00;2019-01-05 12:52:15;2019-01-07 01:25:56
"0136586c";"51c1ab4e";"7abcba0e";"648f91f5";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5116407;-46,5934087;6,2;2019-01-05 11:30:00;2019-01-05 01:56:32;2019-01-07 12:29:10
"e855fd59";"51c1ab4e";"7abcba0e";"58b4feeb";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5113413;-46,6020953;1;2019-01-05 12:00:00;2019-01-05 02:25:48;2019-01-07 06:07:49
"715cace3";"51c1ab4e";"7abcba0e";"46c20bb3";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8796324;-40,8541773;1;2019-01-05 13:00:00;2019-01-05 02:55:47;2019-01-06 03:59:17
"065b9c75";"51c1ab4e";"7abcba0e";"91fafe13";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5111537;-46,6025175;1;2019-01-05 14:00:00;2019-01-05 05:14:53;2019-01-06 07:28:43
"96e481e4";"51c1ab4e";"7abcba0e";"5a0244ce";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5107533;-46,6027066;5,1;2019-01-05 14:05:00;2019-01-05 04:32:09;2019-01-07 10:18:41
"d77e9f11";"51c1ab4e";"7abcba0e";"012afaca";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5114723;-46,6021866;2,7;2019-01-05 16:00:00;2019-01-05 06:25:28;2019-01-06 08:04:59
"3970fe3d";"51c1ab4e";"7abcba0e";"fbdb4285";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5111753;-46,6022686;1;2019-01-05 16:10:00;2019-01-05 06:48:42;2019-01-06 10:02:13
"4e77ceab";"51c1ab4e";"7abcba0e";"0426fa42";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8807131;-40,8567248;1;2019-01-05 16:30:00;2019-01-05 06:53:10;2019-01-06 07:54:46
"a7146b9e";"51c1ab4e";"7abcba0e";"9f1b2e8d";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5166204;-46,6233803;3,5;2019-01-05 17:00:00;2019-01-05 06:25:48;2019-01-05 06:37:42
"491a0ab2";"51c1ab4e";"7abcba0e";"cabd595f";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8796998;-40,8541459;1;2019-01-05 17:30:00;2019-01-05 07:12:40;2019-01-06 07:40:17
"9522091c";"51c1ab4e";"ea2a03fb";"02e5fc80";"regular";"ida";"não";"PETROPOLIS";"RJ";"SAO PAULO";"SP";-22,5166001;-43,2287885;1;2019-01-05 23:00:00;2019-01-05 11:41:40;2019-01-06 07:31:35
